player,player2,team,hs acc,acc spotted,acc all,acc spray,counter strafe,crosshair_placement,time_to_damage,sens,teams,role,mouse,mouse2,length,width,height,size,weight,type,mouse_hertz,dpi,edpi,zoom_sens,accel,windows_sens,raw_input,hertz,resolution,aspect_ratio,mouse_pad,speed
honda,honda,FURIA,20.89%,39.57%,14.48%,42.60%,82.25%,10.61 °,570 ms,1.49,FURIA,Rifler,Logitech G Pro Wireless,Logitech G Pro Wireless,12.5,6.35,4,M / L,80,Ambidextrous,"1,000",800,"1,192",1,0,6,1,240,1280x960,4:03,Zowie G-SR-SE Deep Blue,4
huNter,huNter,G2,19.94%,45.59%,20.91%,49.59%,77.66%,11.78 °,489 ms,2.15,G2,Rifler,Logitech G Pro X Superlight Black,Logitech G Pro X Superlight,12.5,6.35,4,M / L,63,Ambidextrous,"1,000",400,860,1,0,6,1,240,1280x960,4:03,Logitech G640,5
iDISBALANCE,iDISBALANCE,Nemiga,17.59%,44.33%,23.26%,43.28%,83.62%,7.51 °,462 ms,1.35,Nemiga,AWPer,Logitech G Pro X Superlight White,Logitech G Pro X Superlight,12.5,6.35,4,M / L,63,Ambidextrous,"1,000",800,"1,080",1,0,6,1,240,1152x864,4:03,Logitech G640,5
interz,interz,Gambit,18.60%,39.52%,19.80%,41.74%,83.21%,10.65 °,524 ms,1,Gambit,Rifler,Xtrfy M4 Black,Xtrfy M4,12.07,5.76,3.94,M,67,Ergonomic,"1,000",800,800,1,0,6,1,240,1280x960,4:03,HyperX FURY S Pro,4
Jame,Jame,Virtus.pro,23.93%,47.44%,24.09%,26.56%,67.56%,6.81 °,434 ms,0.63,Virtus.pro,AWPer,Logitech G Pro Wireless,Logitech G Pro Wireless,12.5,6.35,4,M / L,80,Ambidextrous,"1,000","1,600","1,008",1,0,6,1,240,1024x768,4:03,Zowie G-SR,5
Jamppi,Jamppi,Free agent,19.99%,39.53%,17.38%,44.01%,75.18%,11.76 °,484 ms,1,Retired,AWPer,Logitech G703,Logitech G703,12.4,6.8,4.3,L,107,Ergonomic,"1,000",800,800,1,0,6,1,240,1440x1080,4:03,Logitech G640 ENCE Edition,5
jkaem,jkaem,EXTREMUM,20.98%,34.47%,16.18%,38.04%,70.88%,9.37 °,508 ms,1.6,Extremum,Rifler,Zowie EC1-A,Zowie EC1-A,12.8,6.9,4.3,L,94,Ergonomic,"1,000",400,640,1,0,5,1,240,1024x768,4:03,SteelSeries QcK Heavy,5
jks,jks,Complexity,20.87%,41.09%,18.28%,42.98%,80.67%,10.5 °,510 ms,1.9,coL,Rifler,Zowie EC1-A,Zowie EC1-A,12.8,6.9,4.3,L,94,Ergonomic,"1,000",400,760,1,0,6,1,240,1024x768,4:03,Zowie G-SR,5
JT,JT,Extra Salt,18.95%,39.13%,16.87%,43.04%,85.91%,10.74 °,525 ms,2.75,Extra Salt,Rifler,Xtrfy M4 White,Xtrfy M4,12.07,5.76,3.94,M,67,Ergonomic,"1,000",400,"1,100",1,0,6,1,240,1280x960,4:03,Logitech G640,5
k1to,k1to,BIG,26.23%,36.73%,18.65%,40.12%,81.54%,10.49 °,562 ms,1.2,BIG,Rifler,Logitech G Pro X Superlight White,Logitech G Pro X Superlight,12.5,6.35,4,M / L,63,Ambidextrous,"1,000",400,480,1.1,0,6,1,240,1152x864,4:03,Zowie G-SR-SE,4
kioShiMa,kioShiMa,Free agent,22.90%,37.60%,12.58%,40.14%,79.41%,9.65 °,515 ms,2.2,Heretics,Rifler,Logitech G Pro Wireless,Logitech G Pro Wireless,12.5,6.35,4,M / L,80,Ambidextrous,"1,000",400,880,1,0,6,1,240,1280x960,4:03,HyperX FURY S Speed Edition,4
Kjaerbye,Kjaerbye,Free agent,22.18%,37.65%,16.28%,40.37%,80.63%,10.01 °,508 ms,1.6,Retired,Rifler,Logitech G Pro Wireless,Logitech G Pro Wireless,12.5,6.35,4,M / L,80,Ambidextrous,"1,000",400,640,0.8,0,6,1,240,800x600,4:03,SteelSeries QcK FaZe Clan Edition,5
Kristou,Kristou,Free agent,30.51%,39.66%,19.57%,26.60%,77%,9 °,465 ms,2,FA,Rifler,Zowie EC2-A,Zowie EC2-A,12,6.4,4,M,93,Ergonomic,"1,000",400,800,1,0,6,1,240,1024x768,4:03,SteelSeries QcK+,5
krizzen,KrizzeN,Free agent,17.09%,34.33%,15.29%,41.50%,79.59%,10.9 °,558 ms,2.28,FA,Rifler,Zowie EC2-A,Zowie EC2-A,12,6.4,4,M,93,Ergonomic,"1,000",400,912,1,0,7,1,240,1680x1050,16:10,Zowie G-SR,5
kscerato,kscerato,FURIA,17.95%,39.95%,17.11%,44.44%,77.54%,10.17 °,488 ms,1.34,FURIA,Rifler,Logitech G Pro X Superlight Custom,Logitech G Pro X Superlight,12.5,6.35,4,M / L,63,Ambidextrous,"1,000",800,"1,069",1,0,5,1,240,1920x1080,16:09,VAXEE ZYGEN PA,4
Lekr0,Lekr0,Dignitas,21.03%,38.14%,15.10%,40.64%,75.59%,9.61 °,534 ms,1,Dignitas,Rifler,Logitech G Pro Wireless,Logitech G Pro Wireless,12.5,6.35,4,M / L,80,Ambidextrous,"1,000",800,800,0.59,0,6,1,360,1440x1080,4:03,Xtrfy XTP1 f0rest Edition,5
leo_drk,leo_drk,O PLANO,22.48%,34.23%,15.81%,36.95%,73.02%,11.98 °,502 ms,1.4,00Nation,Rifler,Glorious Model D Matte Black,Glorious Model D,12.8,6.3,4.2,M/L,68,Ergonomic,"1,000",400,560,1.12,1,6,1,240,1280x1024,5:04,HyperX FURY S Pro,4
Liazz,Liazz,EXTREMUM,17.66%,35.77%,15.40%,40.47%,75.08%,10.65 °,526 ms,1.04,Extremum,Rifler,Zowie EC2-B,Zowie EC2-B,12,6.4,4,M,90,Ergonomic,500,800,832,1,0,6,1,240,1280x960,4:03,Zowie G-SR,5
LNZ,LNZ,NiP,23.19%,39.51%,20.53%,43.99%,84.81%,9.87 °,518 ms,1.7,NiP,Rifler,Logitech G Pro X Superlight White,Logitech G Pro X Superlight,12.5,6.35,4,M / L,63,Ambidextrous,"1,000",400,680,1,0,6,1,360,1024x768,4:03,Logitech G640,5
LUCAS1,LUCAS1,O PLANO,16.06%,36.05%,12.58%,41.44%,75.87%,10.65 °,510 ms,2,00Nation,Rifler,Zowie EC2-A White Edition,Zowie EC2-A,12,6.4,4,M,93,Ergonomic,"1,000",400,800,1,0,6,1,240,1024x768,4:03,Razer Gigantus MIBR Edition,6
